datatime;timestamp;DevDatetime;CO [ppm];CO2 [ppm]
2025-03-17 04:25:44;1742174744;17.03.25 04:36:00;0.2;430
2025-03-17 04:26:44;1742174804;17.03.25 04:37:04;0.2;440
2025-03-17 04:27:44;1742174864;17.03.25 04:38:08;0.2;430
2025-03-17 04:28:44;1742174924;17.03.25 04:38:56;0.1;438
2025-03-17 04:29:44;1742174984;17.03.25 04:39:55;0.2;430
2025-03-17 04:30:44;1742175044;17.03.25 04:41:04;0.2;433
2025-03-17 04:31:44;1742175104;17.03.25 04:42:08;0.2;429
2025-03-17 04:32:44;1742175164;17.03.25 04:43:07;0.1;428
2025-03-17 04:33:44;1742175224;17.03.25 04:44:00;0.2;422
2025-03-17 04:34:44;1742175284;17.03.25 04:45:04;0.2;422
2025-03-17 04:35:44;1742175344;17.03.25 04:46:07;0.2;424
2025-03-17 04:36:44;1742175404;17.03.25 04:47:03;0.2;436
2025-03-17 04:37:44;1742175464;17.03.25 04:48:07;0.2;432
2025-03-17 04:38:44;1742175524;17.03.25 04:49:03;0.2;436
2025-03-17 04:39:44;1742175584;17.03.25 04:49:54;0.2;436
2025-03-17 04:40:44;1742175644;17.03.25 04:51:54;0.2;436
2025-03-17 04:41:44;1742175704;17.03.25 04:52:02;0.2;425
2025-03-17 04:42:44;1742175764;17.03.25 04:53:06;0.2;418
2025-03-17 04:43:44;1742175824;17.03.25 04:54:10;0.2;436
2025-03-17 04:44:44;1742175884;17.03.25 04:55:11;0.2;428
2025-03-17 04:45:44;1742175944;17.03.25 04:55:59;0.2;439
2025-03-17 04:46:44;1742176004;17.03.25 04:57:03;0.2;436
2025-03-17 04:47:44;1742176064;17.03.25 04:58:07;0.2;439
2025-03-17 04:48:44;1742176124;17.03.25 04:59:11;0.2;432
2025-03-17 04:49:44;1742176184;17.03.25 04:59:59;0.2;436
2025-03-17 04:50:44;1742176244;17.03.25 05:01:03;0.1;434
2025-03-17 04:51:44;1742176304;17.03.25 05:02:07;0.2;437
2025-03-17 04:52:44;1742176364;17.03.25 05:03:11;0.2;437
2025-03-17 04:53:44;1742176424;17.03.25 05:04:09;0.2;437
2025-03-17 04:54:44;1742176484;17.03.25 05:05:03;0.2;441
2025-03-17 04:55:44;1742176544;17.03.25 05:06:07;0.2;433
